idUser,idGame,isRecommended,hoursOnRecord,hoursAtReviewTime,purchaseType,datePosted,receivedFree,reviewText,numFoundHelpful,numFoundFunny,numComments
265,1,true,3628.3,881.1,key,2020-01-30T19:39:28.808Z,false,Dolorum et maxime accusantium modi. Quia ipsam cum odio. Cupiditate quaerat qui qui commodi ea maiores laudantium nisi. Deleniti omnis sunt nulla modi. Id aut enim qui error explicabo possimus suscipit id.,281,716,62
12,1,false,3274.5,2379.7,direct,2020-03-02T09:20:52.389Z,true,Nihil expedita incidunt. Perspiciatis cupiditate dolores rerum. Qui soluta nihil sed veritatis culpa voluptatem. Facilis minus aut cumque suscipit. Quibusdam pariatur quam adipisci totam facere est. Doloremque quia blanditiis provident.,397,116,49
259,1,true,1086.8,682.3,key,2019-08-09T11:01:52.536Z,false,Autem vitae est culpa ut amet tempora aliquid illo. A omnis omnis ipsa possimus eius. Est in cumque. Laboriosam et quis. Ipsam ea illum ut veritatis accusamus quo. Alias et enim quod ipsam ea voluptas libero aut. Molestiae omnis ea aut. Sit pariatur quia voluptatem et corporis temporibus architecto numquam. Minus maxime libero. Minima reiciendis qui minima consequatur quaerat necessitatibus exercitationem ea. Vel error alias magni magni earum aut. Provident reiciendis eos quis quis natus. Minus quam beatae id molestiae laboriosam beatae. Provident odio id.,190,370,26
82,1,false,843,681.8,key,2020-06-03T19:21:45.581Z,false,Nostrum aperiam dolores repudiandae sapiente rerum porro eos. Laborum autem dicta enim aut atque. Nobis perferendis quidem nihil illum quo. Deserunt minus dolores nemo voluptas ipsam harum fugiat voluptas. Et dolor similique quia. Est ab praesentium iusto nulla aut minima commodi qui perspiciatis. Neque corporis ab quis. Voluptatem eaque est vel non amet esse temporibus praesentium eos. Fugit molestiae voluptatum nisi deserunt non deserunt aut aut dolor. Libero accusantium dignissimos exercitationem quo est ut accusantium. Illo illo dolores nisi sunt ut qui. Debitis nobis aut fugiat incidunt asperiores fugiat. Nam ipsa iure nobis et. Aperiam voluptatum et adipisci. Qui accusamus accusamus consectetur consequuntur doloremque perspiciatis dolores mollitia.,416,738,84
481,1,false,1962.1,1895.4,key,2020-06-18T00:21:56.381Z,false,Quas in architecto voluptas. Omnis asperiores dolorem non quis ipsam minima sint eligendi. Praesentium culpa perspiciatis voluptatem.,478,297,87
544,1,false,2225.7,95.4,key,2020-05-19T02:06:41.316Z,false,Dolores non est dicta repellat tenetur et et illum. Doloremque modi perferendis nisi. Quo animi aut consectetur voluptate ut. Est perferendis voluptatum. Veniam voluptas deserunt nostrum at. Vitae et dolor quasi fugiat consequatur et atque vel. Nam quas enim officia. Sunt ad rem asperiores. Voluptatem aliquid eveniet nulla corporis amet inventore explicabo nihil. Sit voluptatem illum omnis magni. Voluptatem deserunt cumque magnam vitae perspiciatis quia. Aliquid magnam molestias sunt. Qui ipsa sit asperiores rerum labore. Sunt eligendi animi veniam. Enim ullam quis sint labore eos odit.,648,95,56
151,1,false,141.4,111.6,direct,2020-06-01T04:00:14.179Z,false,Non soluta explicabo dicta dolorem vitae et natus. Reprehenderit atque occaecati consequatur laboriosam autem impedit vitae. Corrupti aut perspiciatis eaque consequuntur sint sit sint atque et.,751,318,31
469,1,true,1459,1419.1,direct,2019-12-18T17:37:03.222Z,false,Aliquid ut est quam provident. Voluptates pariatur nemo hic rerum quam qui. Ut blanditiis nam ducimus voluptate rerum et quo. Sunt eos iste aut est odit qui quidem in nisi. Quia labore officia quo rem laudantium. Quisquam exercitationem et vero nobis facilis porro. Quidem totam aspernatur nihil expedita consequatur architecto natus dolorum. Deserunt minus qui magnam. Est itaque sunt dolorem odit. Id aut eum. Autem ut maiores. Dolorum et corrupti amet quasi delectus.,87,687,83
305,1,false,3985.7,2691.2,direct,2020-05-30T09:48:09.978Z,false,Beatae et aspernatur eum et sed explicabo deleniti est voluptatem. Suscipit rerum labore molestiae similique rerum odit nihil. Aut dolores exercitationem. Aperiam et voluptate esse dolorum vitae ea architecto. Corrupti et et.,544,493,9
571,1,false,3985.2,1985.5,direct,2020-06-16T00:26:26.752Z,false,Laborum eligendi at temporibus velit. Doloribus occaecati similique exercitationem ut maxime harum. Vel ex at non ullam dolorem et. Numquam qui dicta minus perferendis amet at ut. Illum eos assumenda perferendis iure velit earum. Rerum ex non iusto voluptatum. Adipisci non qui est. Repudiandae consequatur saepe laboriosam. Minima qui modi consequatur. Dignissimos enim quo temporibus fuga quas exercitationem nihil. Fuga ducimus alias error libero veniam sunt rerum aut. Porro aliquam facilis vero. Ducimus omnis possimus sapiente mollitia nam est autem recusandae libero. Minima eligendi earum nihil.,775,396,54
